event_id,fish_id,length,weight,height,fish_species,lep_cop,lep_chal,lep_motile,lep_unknown,cal_cop,cal_chal,cal_motile,cal_unknown,unknown_cop,unknown_chal,unknown_motile,unknown_unknown
ccfs_2018-05-162,ccfs_56,62.0,,10.0,Chum Salmon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ccfs_2018-05-162,ccfs_57,60.0,,10.0,Chum Salmon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ccfs_2018-05-162,ccfs_58,52.0,,8.0,Chum Salmon,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ccfs_2018-05-162,ccfs_59,56.0,,10.0,Chum Salmon,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
ccfs_2018-05-162,ccfs_60,66.0,,10.0,Chum Salmon,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-162,ccfs_61,62.0,,11.0,Chum Salmon,15,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
ccfs_2018-05-162,ccfs_62,60.0,,10.0,Chum Salmon,20,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
ccfs_2018-05-162,ccfs_63,54.0,,10.0,Chum Salmon,20,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_64,140.0,,32.0,Coho Salmon,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
ccfs_2018-05-163,ccfs_65,108.0,,19.0,Coho Salmon,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ccfs_2018-05-163,ccfs_66,58.0,,11.0,Chum Salmon,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_67,68.0,,10.0,Chum Salmon,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-163,ccfs_68,68.0,,12.0,Chum Salmon,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_69,74.0,,12.0,Chum Salmon,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
