event_id,sampledate,region,dfozone,sample_site,latitude,longitude,source
scfs_77.0,2003-05-21,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_78.0,2003-05-29,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_79.0,2003-05-29,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_80.0,2003-05-31,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_81.0,2003-06-03,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_82.0,2003-06-04,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_83.0,2003-06-04,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_84.0,2004-03-10,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_85.0,2004-03-10,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_86.0,2004-03-19,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_87.0,2004-03-19,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_88.0,2004-03-19,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_89.0,2004-03-22,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_90.0,2004-03-22,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_91.0,2004-03-24,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_92.0,2004-04-01,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_93.0,2004-04-01,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_94.0,2004-04-05,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_95.0,2004-04-14,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_96.0,2004-04-14,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_97.0,2004-04-24,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_98.0,2004-04-24,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_99.0,2004-04-25,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_100.0,2004-04-30,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_101.0,2004-04-30,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_102.0,2004-05-01,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_103.0,2004-05-06,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_104.0,2004-05-07,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_105.0,2004-05-07,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_106.0,2004-05-11,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_107.0,2004-05-14,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_108.0,2004-05-15,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_109.0,2004-05-19,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_110.0,2004-05-19,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_111.0,2004-05-22,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_112.0,2004-05-24,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_113.0,2004-05-24,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_114.0,2004-05-25,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_115.0,2004-05-30,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_116.0,2004-06-02,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_117.0,2004-06-02,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_118.0,2004-06-04,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_119.0,2004-06-05,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_120.0,2004-06-11,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_121.0,2004-06-13,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_122.0,2004-06-13,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_123.0,2004-06-17,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_124.0,2004-06-18,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_125.0,2004-06-19,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_126.0,2005-02-28,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_127.0,2005-03-07,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_128.0,2005-03-07,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_129.0,2005-03-16,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_130.0,2005-03-16,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_131.0,2005-03-22,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_132.0,2005-03-23,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_133.0,2005-03-23,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_134.0,2005-03-28,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_135.0,2005-03-28,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_136.0,2005-03-30,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_137.0,2005-04-04,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_138.0,2005-04-04,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_139.0,2005-04-04,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_140.0,2005-04-11,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_141.0,2005-04-11,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_142.0,2005-04-11,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_143.0,2005-04-18,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_144.0,2005-04-18,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_145.0,2005-04-19,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_146.0,2005-04-25,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_147.0,2005-04-25,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_148.0,2005-04-25,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_149.0,2005-05-02,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_150.0,2005-05-02,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_151.0,2005-05-02,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_152.0,2005-05-10,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_153.0,2005-05-10,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_154.0,2005-05-10,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_155.0,2005-05-16,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
